<Trait>	Trait_1_H2_0.9	Trait_2_H2_0.9	Trait_3_H2_0.9	Trait_4_H2_0.9	Rep
X2456584	25.9736249382997	1.4737004186384	39.0300444495185	1.34020447401867	1
X2485375	35.6912698798622	0.135538928459464	49.2653931514363	1.6307228783123	1
X2470787	-37.2758560591556	1.66899655354531	-43.2399296278271	-8.89548026679232	1
X2467532	14.7435699981724	-0.159380036563446	49.4276444963171	-14.6672277706884	1
X2448908	-46.5460868855823	1.58693913374137	-19.8989307498855	-3.33777897588131	1
X2416724	10.1075136379977	-0.746160194447166	13.8750194658274	6.73399286448788	1
X2483591	-10.6717559761114	-0.0022694285790571	-12.1918768637315	-7.28934845390555	1
X2460009	2.68167876147421	-0.0469548852350424	-0.52985725545941	-4.16123233189217	1
X2436946	-42.7411390019566	0.156347279767035	-33.5125538542231	-2.60531610426911	1
X2458297	47.7092217150982	1.24441443054268	50.0579532479462	4.0912445415569	1
X2470842	-51.7736276870951	-0.992209224970238	-65.7952221770201	-4.46639061900426	1
X2483623	-41.8883241408255	0.229450761768406	-8.70360579291478	-7.31566216931837	1
X2471009	40.8295958343301	0.228043547569467	13.9911999237041	-3.88417807244412	1
X2458288	-82.935777159793	1.2799165591225	-62.5717458257589	-4.71563908804535	1
X2457959	6.58968296458188	-1.10765517619169	-11.0421785964309	-1.43629428696812	1
X2486907	12.4120254923946	0.363333758391285	1.25522815412137	5.8036215827739	1
X2469250	-16.7458546838394	0.259330028931623	-23.4083200966494	-14.7905835027053	1
X2486201	17.3815572753592	-0.942568531505976	28.8606076821538	5.24654722041637	1
X2488435	-29.1563966933693	0.580037735446775	-17.481869964644	-3.60250028905912	1
X2457928	2.87100473592853	-0.868217413464592	-3.05446414774162	4.93863746248016	1
X2463120	43.3810526178088	-0.657720320969692	42.0408028126745	-0.198431603407577	1
X2479033	-19.5628880902565	-0.422480232494236	-14.3609030995697	-8.456823194345	1
X2456535	-69.5792762908664	1.83530173569217	-70.9348503241831	-7.5038843671718	1
X2464511	35.3356737309068	0.176069262331453	43.9627155056639	-3.51629410217119	1
X2449589	39.8933368970046	-1.11645492046246	25.6409075889619	4.57958989099648	1
X2487411	-86.8193269217102	-0.036059523016955	-32.959928844151	-17.3531566255537	1
X2457762	-100.954071138859	1.65876514545663	-93.245759046546	-5.81694139777976	1
X2450837	34.6443205249815	-1.23330696568138	56.2622175374145	-6.59832707198396	1
X2467560	30.0884162678974	2.05380267153665	40.0660344600059	-2.16249467505414	1
X2462756	-46.1942958522743	-1.89895143685559	-56.9939792200524	12.4689755623159	1
X2461350	-1.0720964280182	1.48368384820335	-33.1744959934408	-3.79195195377403	1
X2442970	1.5713415028623	0.971717006852135	18.1092089152539	-2.3929230927808	1
X2470412	-39.8434649565849	0.0675043473850101	3.90315785732507	-15.3370968811288	1
X2458278	-13.4914687332697	1.13325077076845	2.32116420323254	-12.1156502744082	1
X2488141	23.5064496242051	1.5372265553986	-4.25236189759102	-12.5421881652267	1
X2465520	30.3376663681707	0.333301611046678	-3.84214860288093	-9.21300760635472	1
X2486400	22.5740164283145	0.721229998953725	36.7872852912623	-6.54375630675172	1
X2422882	-47.7789040679794	-0.257406143917931	-4.81382994186008	-14.4813875260959	1
